Number, Category
1, Hooded_Cotton_Canvas_Anorak
2, Blazer
3, Blouse
4, Bomber
5, Button-Down
6, Cardigan
7, Flannel
8, Paisley_Print_Strappy_Halter
9, Henley
10, Hoodie
11, Jacket
12, Jersey
13, Parka
14, Double-Breasted_Peacoat
15, Poncho
16, Sweater
17, Tank
18, Tee
19, Top
20, Knit_Turtleneck
21, Drawstring_Cargo_Capris
22, Chinos
23, Culottes
24, Cutoffs
25, Frayed_Denim_Gauchos
26, Jeans
27, Jeggings
28, Topstitched_Jodhpurs
29, Joggers
30, Leggings
31, Water_Print_Sarong
32, Shorts
33, Skirt
34, Sweatpants
35, Sweatshorts
36, Swim_Trunks
37, Tile_Print_Drawstring_Caftan
38, (empty)
39, Coat
40, Tribal_Print_Coverup
41, Dress
42, Jumpsuit
43, Kaftan
44, Kimono
45, (empty)
46, Panda-Hood_Pajama_Onesie
47, Robe
48, Romper
